Common Name,Scientific Name,Probable Locality/State(s),Extent of Occurrence (EOO),Area of Occupancy (AOO),Distribution Status,Primary Threat
Konkan Tiger Toad,"Xanthophryne tigerina (Biju et al., 2009)","Amboli, Maharashtra",<100 km²,<10 km²,Single location,Habitat & population decline
Ghats Wart Frog,"Fejervarya murthii (Pillai, 1979)","Naduvattom, Tamil Nadu",<100 km²,,Single location,Habitat decline
Charles Darwin's Frog,"Ingerana charlesdarwini (Das, 1998)",Andaman Islands,<100 km²,,Severely fragmented,Habitat decline
Resplendent Shrubfrog,"Raorchestes resplendensss Biju et al., 2010","Anamudi summit, Idukki Dist., Kerala",<100 km²,~3 km²,Single location,Population decline
Günther's Bush Frog,"Raorchestes chalazodes (Günther, 1876)","Munnar, Kerala",<100 km²,<10 km²,Severely fragmented,Forest habitat decline
Green Eyed Bushfrog,"Raorchestes chlorosomma (Biju & Bossuyt, 2009)","Munnar, Kerala",<100 km²,,Single location,Tea/eucalyptus cultivation
Kaikatti Bush Frog,"Raorchestes kaikatti (Biju & Bossuyt, 2009)","Kaikatti, Nelliyampathi Hills, W. Ghats",<100 km²,<10 km²,Single location,Habitat decline
Mark's Bush Frog,"Raorchestes marki (Biju & Bossuyt, 2009)","Kaikatti-Nelliyampathi, Palakkad Dist., Kerala",<100 km²,<10 km²,Single location,Habitat decline
Large Ponmudi Bush Frog,"Raorchestes ponmudi (Biju & Bossuyt, 2005)","Ponmudi Hill, Agasthyamala range",<100 km²,,Single location,Habitat decline
Sacred Grove Bushfrog,"Philautus sanctisilvaticus Das & Chanda, 1997","Kapildhara Falls, Amarkantak",<100 km²,<10 km²,Single location,Habitat decline
Amboli Bush Frog,"Pseudophilautus amboli (Biju & Bossuyt, 2009)","Amboli, Maharashtra",<100 km²,,Single location,Habitat decline
Griet Bush Frog,"Raorchestes griet (Bossuyt, 2002)","Munnar, Kerala",<100 km²,,Single location,Habitat decline
Munnar Bush Frog,"Raorchestes munnarensis (Biju & Bossuyt, 2009)","Munnar, Kerala",<100 km²,,Single location,Habitat decline
Shillong Bush Frog,"Raorchestes shillongensis (Pillai & Chanda, 1973)","Shillong, Meghalaya",<100 km²,,Severely fragmented,Habitat decline
Sushil's Bushfrog,"Raorchestes sushili (Biju & Bossuyt, 2009)","Coimbatore, Tamil Nadu",<100 km²,,Single restricted patch,Agri. land use encroachment
Anaimalai Flying Frog,"Rhacophorus pseudomalabaricus Vasudevan & Dutta, 2000","Indira Gandhi NP and surroundings, TN",<100 km²,,Single location,Habitat & population decline
Dattatreya Night Frog,"Nyctibatrachus dattatreyaensis Dinesh et al., 2008","Bhadra WS, Karnataka",~30 km²,,Single location,Habitat decline at Manikyadhara Falls
Micrixalus kottigeharensis,"Micrixalus kottigeharensis (Rao, 1937)","Chikmagalur, Karnataka",<100 km²,,Severely fragmented,Habitat decline
Gundia Frog,"Indirana gundia (Dubois, 1986)",Karnataka,<100 km²,,Single location,Habitat decline
Kerala Indian Frog,"Indirana phrynoderma (Boulenger, 1882)","Anamalai Hills, Western Ghats",<100 km²,,Single location,Decline outside Indira Gandhi NP
