Year,Animal,Poaching,Ivory Seizures
2007,Elephant,25,190 kg + 7 ivory pieces + 5 tusks + 10 tusk pieces + 1 ivory idol
2008,Elephant,30,181.9 kg + 10 tusk + 10 ivory pieces and other articles + 75 ivory bangles + 10 kg molar teeth
2009,Elephant,34,344 kg + 17 tusks + 10 ivory pieces
2010,Elephant,37,196 kg ivory + 22 tusks + 3 ivory pieces + 5 ivory idols + 1 ivory necklace + 1 kg bone
2011,Elephant,32,92 kg ivory + 14 tusks + 7 ivory idols + 9 ivory pieces + 1 ivory box + 1 foot
2012,Elephant,42,216 kg ivory + 14 tusks + 3 ivory piece + 1 ivory idol
2013,Elephant,38,161 kg ivory + 17 tusks + 2 tushes + 7 ivory pieces
2014,Elephant,22,48 kg ivory + 40 tusks + 5 tushes + 21 ivory articles
2015,Elephant,41,615 kg ivory + 14 tusks + 7 ivory pieces + 12 ivory idols
2008,Rhinoceros,13,5 horn + 2 jaws
2009,Rhinoceros,17,4 horns + 25 kg bone + 6 kg skin
2010,Rhinoceros,7,4 horns + 20 kg skin
2011,Rhinoceros,14,2 horns
2012,Rhinoceros,25,3 horns
2013,Rhinoceros,41,2 suspected horns
2014,Rhinoceros,35,3 suspected horns
2015,Rhinoceros,24,2 horns + 5 suspected horns
2008,FreshWater Turtles,,5569 turtles + 5200 kg turtles
2009,FreshWater Turtles,,14585 turtles + 109 carapaces
2010,FreshWater Turtles,,5271 turtles + 420 kg turtles + 13 carapaces
2011,FreshWater Turtles,,5353 turtles + 10 kg carapaces
2012,FreshWater Turtles,,"11,596 turtles + 810 kg turtles + 67 carapaces + 30 kg meat"
2013,FreshWater Turtles,,"31,814 turtles + 5 carcasses + 1 specimen"
2014,FreshWater Turtles,,"11,688 turtles + 5000 kg turtles + 1 carcass + 25 kg meat + unspecified nos. of carapaces"
2015,FreshWater Turtles,,9396 turtles + 20 kg of carapaces + unspecified nos. of turtles
2009,Pangolin,,512.30 kg scales + 1427 individual pieces of scales + 1 skin
2010,Pangolin,,1453.98 kg scales + 2 kg meat + 1 live pangolin
2011,Pangolin,,1138.10 kg scales + 1800 individual pieces of scales + 1 live pangolin
2012,Pangolin,1,513 kg scales
2013,Pangolin,2,375.50 kg scales
2014,Pangolin,,128.30 kg scales + Unspecified quantity of scales in 2 cases + 1 live pangolin
2015,Pangolin,,357.17 kg scales + 2 live pangolin
2008,Star Tortoises,,1786 live star tortoises
2009,Star Tortoises,,1508 live star tortoises
2010,Star Tortoises,,1366 live star tortoises
2011,Star Tortoises,,17 live star tortoises
2012,Star Tortoises,,1968 live star tortoises
2013,Star Tortoises,,1059 live star tortoises
2014,Star Tortoises,,1710 live star tortoises
2015,Star Tortoises,,1986 live star tortoises
